Code	Compound	Type	Function	Definition
F119	Pantothenate (B5)	Production	Vitamin production	((K00826 K00606 K00077),K01579) (K01918,K13799)
F120	Pantothenate (B5)	Production	Vitamin production	((K00606 K00077),(K13367 K00128)) K01918
F121	Pyridoxal-P (B6)	Production	Vitamin production	K03472 K03473 K00831 K00097 K03474 K00275
F122	Pyridoxal-P (B6)	Production	Vitamin production	K06215 K08681
F123	Biotin (B7)	Production	Vitamin production	K00652 (((K00833,K19563) K01935),K19562) K01012
F124	Biotin (B7)	Production	Vitamin production	K00652 K25570 K01935 K01012
F125	Biotin (B7)	Production	Vitamin production	K16593 K00652 K19563 K01935 K01012
F126	Biotin (B7)	Production	Vitamin production	K01906 K00652 (K00833,K19563) K01935 K01012
F127	Tetrahydrofolate (B9)	Production	Vitamin production	(K01495,K09007,K22391) (K01077,K01113,(K08310,K19965)) ((K13939,((K13940,(K01633 K00950)) K00796)),(K01633 K13941)) (K11754,K20457) (K00287,K13998)
F128	Tetrahydrofolate (B9)	Production	Vitamin production	K14652 K22100 K01633 K13941 K22099 K00287
F129	Tetrahydrofolate (B9)	Production	Vitamin production	K01495 K22101 K13941 K11754 K13998
F130	Cobalamin (B12)	Production	Vitamin production	(K02302,((K02303,K13542) (K02304,K24866))) (K02190,K03795,K22011) K03394 (K05934,K13541,K21479) K05936 (K02189,K13541) K02188 K05895 ((K02191 K03399),K00595) K06042 K02224
F131	Cobalamin (B12)	Production	Vitamin production	(K02303,K13542) (K03394,K13540) K02229 (K05934,K13540,K13541) K05936 K02228 K05895 K00595 K06042 K02224 K02230+K09882+K09883
F132	Cobalamin (B12)	Production	Vitamin production	(K00798,K19221) K02232 (K02225,K02227) K02231 K00768 (K02226,K22316) K02233
F133	Tocopherol/tocotorienol (E)	Production	Vitamin production	K09833 (K12502,K18534) K09834 K05928
F134	Phylloquinone (K1)	Production	Vitamin production	((K02552 K02551 K08680 K02549),K14759) (K01911,K14760) K01661 (K19222,K12073) K23094 K17872 K23095
F135	Menaquinone (K2)	Production	Vitamin production	K02552 K02551 K08680 K02549 K01911 K01661 K19222 K02548 K03183
F136	Menaquinone (K2)	Production	Vitamin production	K11782 K18285 (K18286,K20810) K11783 K11784 K11785
F137	Menaquinone (K2)	Production	Vitamin production	K11782 K18285 K18284 K11784 K11785
F138	Ubiquinone (Q10)	Production	Vitamin production	(K03181,K18240) K03179 (K03182+K03186) K18800 K00568 K03185 K03183 (K03184,K06134) K00568
F139	Ubiquinone (Q10)	Production	Vitamin production	K06125 K06126 K00591 K06127 K06134 K00591
