module_name	Code	Compound	Type	Function	Definition
Lysine	F113	Lysine	Production	Amino acid production	K01655 ((K17450 K01705),(K16792+K16793)) K05824
Lysine	F114	Lysine	Production	Amino acid production	K05827 K05828 K05829 K05830 K05831
Arginine	F115	Arginine	Production	Amino acid production	K00611 K01940 (K01755,K14681)
Arginine	F116	Arginine	Production	Amino acid production	K22478 K00145 K00821 K09065 K01438 K01940 K01755
Proline	F117	Proline	Production	Amino acid production	((K00931 K00147),K12657) K00286
Glutamate	F118	Glutamate	Production	Amino acid production	K00673 K01484 K00840 K06447 K05526
Glutamate	F119	Glutamate	Production	Amino acid production	K01745 K01712 K01468 (K01479,K00603,K13990,(K05603 K01458))
Histidine	F120	Histidine	Production	Amino acid production	K00765 ((K01523 K01496),K11755,K14152) (K01814,K24017) ((K02501+K02500),K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)
Tryptophan	F121	Tryptophan	Production	Amino acid production	((((K01657+K01658),K13503,K13501,K01656) K00766),K13497) (((K01817,K24017) (K01656,K01609)),K13498,K13501) ((K01695+(K01696,K06001)),K01694)
Phenylalanine	F122	Phenylalanine	Production	Amino acid production	(((K01850,K04092,K14187,K04093,K04516,K06208,K06209) (K01713,K04518,K05359)),K14170) (K00832,K00838)
Phenylalanine	F123	Phenylalanine	Production	Amino acid production	K01850 K15849 K05359
Tyrosine	F124	Tyrosine	Production	Amino acid production	(((K01850,K04092,K14170,K04093,K04516,K06208,K06209) (K04517,K00211)),K14187) (K00832,K00838)
Tyrosine	F125	Tyrosine	Production	Amino acid production	(K01850,K04092,K14170) (K00832,K15849) (K00220,K24018,K15227)
GABA	F126	GABA	Production	Amino acid production	K09470 K09471 K09472 K09473
Beta-alanine	F127	Beta-alanine	Production	Amino acid production	(K00207,(K17722+K17723)) K01464 (K01431,K06016)
Choline	F128	Choline	Production	Amino acid derivative production	2.7.7.15 2.7.8.2 3.1.4.4
Betaine	F129	Betaine	Production	Amino acid derivative production	1.1.1.254 2.3.1.M85 3.1.2.M6
Ectoine	F130	Ectoine	Production	Amino acid derivative production	K00928 K00133 K00836 K06718 K06720
Ethylene	F131	Ethylene	Production	Amino acid derivative production	K00789 (K01762,K20772) K05933
Ornithine	F132	Ornithine	Production	Amino acid derivative production	(K00618,K00619,K14681,K14682,K00620,K22477,K22478) (((K00930,K22478) K00145),K12659) (K00818,K00821) (K01438,K14677,K00620)
Ornithine	F133	Ornithine	Production	Amino acid derivative production	K19412 K05828 K05829 K05830 K05831
Creatine	F134	Creatine	Production	Amino acid derivative production	K00613 K00542 K00933
Spermidine	F135	Spermidine	Production	Amino acid derivative production	(K01583,K01584,K01585,K02626) K01480
Putrescine	F136	Putrescine	Production	Amino acid derivative production	K01476 K01581
Inosinic acid (IMP)	F137	Inosinic acid (IMP)	Production	Amino acid derivative production	K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787,K01492) (K01952,(K23269+K23264+K23265),(K23270+K23265)) (K01933,K11787,(K11788 (K01587,K11808,(K01589 K01588)))) (K01923,K01587,K13713) K01756 (K00602,(K01492,(K06863 K11176)))
Uridylic acid (UMP)	F138	Uridylic acid (UMP)	Production	Amino acid derivative production	(K11540,((K11541 K01465),((K01954,(K01955+K01956)) ((K00609+K00610),K00608) K01465))) (K00226,K00254,K17828) (K13421,(K00762 K01591))
Thiamine (B1) biosynthesis	F139	Thiamine (B1)	Production	Vitamin production	(((K03148+K03154) K03151),(K03150 K03149)) K03147 ((K00941 K00788),K14153,K21219) K00946
Thiamine (B1) biosynthesis	F140	Thiamine (B1)	Production	Vitamin production	(((K03148+K03154) K03151),(K03153 K03149 K10810)) K03147 K00941 K00788 K00946
Thiamine (B1) biosynthesis	F141	Thiamine (B1)	Production	Vitamin production	(K22699,K03147) ((K00941 (K00788,K21220)),K21219) K00946
Thiamine (B1) biosynthesis	F142	Thiamine (B1)	Production	Vitamin production	(K00941 K00788),K14153,K21219
Riboflavin (B2) biosynthesis	F143	Riboflavin (B2)	Production	Vitamin production	(((K01497,K14652) ((K01498 K00082),K11752) (K22912,K20860,K20861,K20862,K21063,K21064)),(K02858,K14652)) K00794 K00793 ((K20884 K22949),K11753)
Niacin (B3) biosynthesis	F144	Niacin (B3)	Production	Vitamin production	3.6.1.22 (3.2.2.6,3.2.2.4) 3.4.1.19
Pantothenate (B5) biosynthesis	F145	Pantothenate (B5)	Production	Vitamin production	((K00826 K00606 K00077),K01579) (K01918,K13799)
Pantothenate (B5) biosynthesis	F146	Pantothenate (B5)	Production	Vitamin production	((K00606 K00077),(K13367 K00128)) K01918
Pyridoxal-P (B6) biosynthesis	F147	Pyridoxal-P (B6)	Production	Vitamin production	K03472 K03473 K00831 K00097 K03474 K00275
Pyridoxal-P (B6) biosynthesis	F148	Pyridoxal-P (B6)	Production	Vitamin production	K06215 K08681
Biotin (B7) biosynthesis	F149	Biotin (B7)	Production	Vitamin production	K00652 (((K00833,K19563) K01935),K19562) K01012
Biotin (B7) biosynthesis	F150	Biotin (B7)	Production	Vitamin production	K00652 K25570 K01935 K01012
Biotin (B7) biosynthesis	F151	Biotin (B7)	Production	Vitamin production	K16593 K00652 K19563 K01935 K01012
Biotin (B7) biosynthesis	F152	Biotin (B7)	Production	Vitamin production	K01906 K00652 (K00833,K19563) K01935 K01012
Tetrahydrofolate (B9) biosynthesis	F153	Tetrahydrofolate (B9)	Production	Vitamin production	(K01495,K09007,K22391) (K01077,K01113,(K08310,K19965)) ((K13939,((K13940,(K01633 K00950)) K00796)),(K01633 K13941)) (K11754,K20457) (K00287,K13998)
Tetrahydrofolate (B9) biosynthesis	F154	Tetrahydrofolate (B9)	Production	Vitamin production	K14652 K22100 K01633 K13941 K22099 K00287
Tetrahydrofolate (B9) biosynthesis	F155	Tetrahydrofolate (B9)	Production	Vitamin production	K01495 K22101 K13941 K11754 K13998
Cobalamin (B12) biosynthesis	F156	Cobalamin (B12)	Production	Vitamin production	(K02302,((K02303,K13542) (K02304,K24866))) (K02190,K03795,K22011) K03394 (K05934,K13541,K21479) K05936 (K02189,K13541) K02188 K05895 ((K02191 K03399),K00595) K06042 K02224
Cobalamin (B12) biosynthesis	F157	Cobalamin (B12)	Production	Vitamin production	(K02303,K13542) (K03394,K13540) K02229 (K05934,K13540,K13541) K05936 K02228 K05895 K00595 K06042 K02224 K02230+K09882+K09883
Cobalamin (B12) biosynthesis	F158	Cobalamin (B12)	Production	Vitamin production	(K00798,K19221) K02232 (K02225,K02227) K02231 K00768 (K02226,K22316) K02233
Tocopherol/tocotorienol (E) biosynthesis	F159	Tocopherol/tocotorienol (E)	Production	Vitamin production	K09833 (K12502,K18534) K09834 K05928
Phylloquinone (K1) biosynthesis	F160	Phylloquinone (K1)	Production	Vitamin production	((K02552 K02551 K08680 K02549),K14759) (K01911,K14760) K01661 (K19222,K12073) K23094 K17872 K23095
Menaquinone (K2) biosynthesis	F161	Menaquinone (K2)	Production	Vitamin production	K02552 K02551 K08680 K02549 K01911 K01661 K19222 K02548 K03183
Menaquinone (K2) biosynthesis	F162	Menaquinone (K2)	Production	Vitamin production	K11782 K18285 (K18286,K20810) K11783 K11784 K11785
Menaquinone (K2) biosynthesis	F163	Menaquinone (K2)	Production	Vitamin production	K11782 K18285 K18284 K11784 K11785
Ubiquinone (Q10) biosynthesis	F164	Ubiquinone (Q10)	Production	Vitamin production	(K03181,K18240) K03179 (K03182+K03186) K18800 K00568 K03185 K03183 (K03184,K06134) K00568
Ubiquinone (Q10) biosynthesis	F165	Ubiquinone (Q10)	Production	Vitamin production	K06125 K06126 K00591 K06127 K06134 K00591
